"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,covid19_patient_survey,,text,"Record ID",,,,,,,,,,,,,
page1of4,covid19_patient_survey,"<div class=""rich-text-field-label""><div class=""rich-text-field-label""><h3>Perfil personal</h3></div></div>",descriptive,"<div class=""rich-text-field-label""><h3>Páginas 1 de 4</h3></div>",,,,,,,,,,,,,
fname_txt1,covid19_patient_survey,,descriptive,"Escriba su nombre:
",,,,,,,,,,1,,,
fname,covid19_patient_survey,,text,"<div class=""rich-text-field-label""></div>",,,,,,y,,y,LV,,,,
lname_txt1,covid19_patient_survey,,descriptive,"Escriba su apellido: ",,,,,,,,,,,,,
lname,covid19_patient_survey,,text,"<div class=""rich-text-field-label""></div>",,,,,,y,,y,LV,,,,
dob,covid19_patient_survey,,text,"¿Cuál es su fecha de nacimiento?",,,date_mdy,,,y,,y,LV,2,,," @HIDEBUTTON"
email_address,covid19_patient_survey,,text,Email,,,email,,,y,,y,,2,,,
mobile_phone_number,covid19_patient_survey,,text,"Número de teléfono celular",,,phone,,,y,,y,,3,,,
assigned_sex,covid19_patient_survey,,radio,"¿Sexo al nacer? ","1, Masculino | 2, Femenino | 3, Otro | 4, Prefiero no contestar",,,,,,,y,,4,,,
pregnancy_status,covid19_patient_survey,,radio,"¿Estás embarazada o crees estar embarazada en el próximo mes? ","1, Yes | 0, No",,,,,,"[assigned_sex] = '2'",y,,,,,
gender_sex_match,covid19_patient_survey,,radio,"¿Tienes la misma identidad de género que tu sexo al nacer?","1, Si | 0, No | 2, Prefiero no contestar",,,,,,,y,,5,,,
gender_identity,covid19_patient_survey,,radio,"¿Cuál es tu identidad de género actual? ","1, Transgénero femenino (masculino a femenino) | 2, Transgénero masculino (femenino a masculino) | 3, Género queer | 4, Género variable | 5, Femenino | 6, Masculino | 7, Autoidentificable | 8, Prefiero no contestar",,,,,,"[gender_sex_match] = '0'",y,,,,," @NONEOFTHEABOVE=8"
gender_self_identity,covid19_patient_survey,,text,"Especifica por favor tu género si escogiste Autoidentificable ",,,,,,,"[gender_identity] = '7'",y,,,,,
age,covid19_patient_survey,,text,"¿Qué edad tienes? (años)",,,integer,0,130,,,y,,6,,,
weight,covid19_patient_survey,,text,"¿Cuánto pesas? (en libras)",,,integer,1,1000,,,y,,7,,,
height_header,covid19_patient_survey,,descriptive,"<div style=""font-size: 10pt"">¿Estatura?</div>",,,,,,,,,,8,,,
height_feet,covid19_patient_survey,,text,Pies,,,integer,0,8,,,y,,,,,
height_inches,covid19_patient_survey,,text,Pulgadas,,,integer,0,11,,,y,RH,,,,
ancestry_ethnicity,covid19_patient_survey,,checkbox,"¿Cuál es tu etnicidad/ancestros? ","1, Hispana or latina | 2, Blanco - Europeo | 3, Asiático | 4, Negro - Africano | 5, Americano Nativo | 6, Islas del Pacífico | 7, No lo sé | 8, Prefiero no contestar",,,,,,,y,,9,,,
live_alone,covid19_patient_survey,,radio,"¿Vives solo?","1, Si | 0, No",,,,,,,y,,10,,,
household_interaction_ages,covid19_patient_survey,,checkbox,"Indica por favor las edades de la gente con la que convives en tu hogar (incluyéndote a ti, cuidadores y compañeros de cuarto -- selecciona todas las opciones que apliquen)
","1, menores de  3 años | 2, 3-6 años | 3, 7-17 años | 4, 18-25 años | 5, 26-40 años | 6, 41-64 años | 7, 65-79 años | 8, 80 años o mayores",,,,,,"[live_alone] = '0'",y,,,,,
household_under_3,covid19_patient_survey,,text,"Número de personas en el hogar menores de 3 años de edad",,,integer,0,100,,"[household_interaction_ages(1)] = '1'",y,,,,,
household_between_3_6,covid19_patient_survey,,text,"Número de personas en el hogar entre 3 y 6 años de edad",,,integer,0,100,,"[household_interaction_ages(2)] = '1'",y,,,,,
household_between_7_17,covid19_patient_survey,,text,"Número de personas en el hogar entre 7 y 17 años de edad",,,integer,0,100,,"[household_interaction_ages(3)] = '1'",y,,,,,
household_between_18_25,covid19_patient_survey,,text,"Número de personas en el hogar entre 18 y 25 años de edad
",,,integer,0,100,,"[household_interaction_ages(4)] = '1'",y,,,,,
household_between_26_40,covid19_patient_survey,,text,"Número de personas en el hogar entre 26 y 40 años de edad",,,integer,0,100,,"[household_interaction_ages(5)] = '1'",y,,,,,
household_between_41_64,covid19_patient_survey,,text,"Número de personas en el hogar entre 41 y 64 años de edad",,,integer,0,100,,"[household_interaction_ages(6)] = '1'",y,,,,,
household_between_65_79,covid19_patient_survey,,text,"Número de personas en el hogar entre 65 y 79 años de edad",,,integer,0,100,,"[household_interaction_ages(7)] = '1'",y,,,,,
